ID	Portrait	Text
VOICE_CPT_ALIEN1	1.4	"Fear not Crew, I'll send this Alien back to its creator! "
VOICE_CPT_AMB1	1.3	"Don't worry crew, we'll all be sipping champagne back home before we know it. "
VOICE_CPT_AMB2	1.1	This is just a small hiccup in an otherwise successful mission 
VOICE_CPT_AMB3	1.4	"I'm ending this, Once and for all! "
VOICE_CPT_AXE	1.1	"Some problems require a more direct solution, an axe in this case. "
VOICE_CPT_CAP	1.1	More C.A.P's need to be disabled if we are going to survive this. 
VOICE_CPT_DEATH_ANY	1.3	"Don't worry crewmate, I'll avenge you. "
VOICE_CPT_DEATH_ANY2	1.1	We must honour our failen and complete our misson.
VOICE_CPT_DOOR	1.4	"Blast, SIID has access to the door controls."
VOICE_CPT_EX	1.1	"Don't worry team, I'll deal with the fire. "
VOICE_CPT_FIRE1	1.1	"Fetch the extingusher crew, SIID has ignited the engine bay. "
VOICE_CPT_HACK	1.1	"Drat, the NOVA unit has been hacked."
VOICE_CPT_KILL	1.4	I will not be damned to this steel tomb; I will not allow it. 
VOICE_CPT_O2	1.4	"The O2's been shut off, this is number one priority team. "
VOICE_ENG_ALIEN1	6.4	"I'm gonna Kill that fuckin mossy, ratty..uh..THING! "
VOICE_ENG_ALIEN2	6.2	guys? I think theres something in the vents with me.
VOICE_ENG_AMB1	6.3	(Whistling) Shutin' off SIID. (Whistling) 
VOICE_ENG_AMB2	6.1	I better get a pay bump after this 
VOICE_ENG_AXE	6.1	"An AXE? Cassius, we need a flamethrower for the next misson."
VOICE_ENG_CAP1	6.3	"mmmmm, what a juicy C.A.P for me to disable "
VOICE_ENG_CAP2	6.3	"Im Gunnin' for SIID's vitals, this will be fun! "
VOICE_ENG_DEATH_CAP	6.1	We're Still gonna get payed even though the captain is death right?
VOICE_ENG_DEATH_SLD	6.1	Cry smeo more! Oh wait you cant because your dead.
VOICE_ENG_DEATH_SCI	6.3	Ding Dong the Icy bitch is dead!
VOICE_ENG_DOOR	6.4	I'l teach you to slam doors im my face you stupid fuckin electronic shithead!
VOICE_ENG_FEAR	6.2	"Man im feeing woozy, Just me? No?...Anyone gonna reply... "
VOICE_ENG_FIRE1	6.1	Dose anyone else smell smoke or is Tomyris smokin on the ship again.. Junkie Bitch.
VOICE_ENG_FIRE2	6.2	Is it getting hot in here or is it just me? 
VOICE_ENG_HACK	6.4	SILVIE CAN YOU STOP MAKING SHIT THAT TRIES TO KILL US???!!
VOICE_ENG_KILL	6.3	"HA, TAKE THAT, you bastard!"
VOICE_ENG_O2.1	6.2	"i can't breathe, someone fix O2 "
VOICE_ENG_O2.2	6.4	"If no one else is fixin' O2, guess I'll do it. "
VOICE_ENG_TERROR	6.2	"I'm never going to see the sunset again. Am I? Doomed to Drift with you 3 fuckers. Lest I die, I'll take all of you with me "
VOICE_INJ_AMB1	3.1	"Oh god, oh jeez, oh man, why me? "
VOICE_INJ_AMB2	3.1	I wish I was back at boot camp. 
VOICE_INJ_AMB3	3.1	I have a Husband and 88 kids to get home to. 
VOICE_INJ_AMB4	3.4	"If I die, Eddison you still owe me 20 dollars. "
VOICE_INJ_AMB5	3.1	"Killing SIID better end this, right? "
VOICE_INJ_ALIEN1	3.2	What the fuck is that chripping noise?
VOICE_INJ_AXE	3.3	With the axe I can escape this place. Away from you cowards. 
VOICE_INJ_DEATH_ANY	3.2	It's picking us off one by one!
VOICE_INJ_DOOR	3.4	Why is every door slamming in my face. 
VOICE_INJ_FEAR1	3.2	Mommy! 
VOICE_INJ_FEAR2	3.2	I gotta get outta here. I miss my mum... and my cat. 
VOICE_INJ_FIRE	3.2	Is SIID is trying to cook us alive now?!
VOICE_INJ_HACK	3.2	Now there's TWO evil Machienes? 
VOICE_INJ_O2	3.1	Why must I be brought closer to oblivion? You are no God. 
VOICE_INJ_TERROR1	3.2	We’re all gonna die. 
VOICE_INJ_TERROR2	3.2	"Oh Fuck, NOT ME, Kill Eddie first, or Silvie!..ah Shit!"
VOICE_SCI_ALIEN1	7.1	Maybe the creature will climb into the vents and kill Eddison for us.
VOICE_SCI_ALIEN2	7.4	"I have made and unmade this alien creature. I know what it needs to survive and what it doesn't. Remember this, SIID. Your minion will be taken from you. Life is NOT your plaything. It is Mine and Mine alone. "
VOICE_SCI_AMB1	7.3	Atleast this is my last mission with any of you idiots. 
VOICE_SCI_AMB2	7.1	"The “Almighty” SIID. I helped build it. I will wear that mark of sin for the rest of my days, drifting through hell with the devil at the wheel. "
